name,entity,label,definition_period
basic_income_eligible,tax_unit,Basic income eligible,year
basic_income_phase_in,tax_unit,Basic income phase-in,year
basic_income_phase_out,tax_unit,Basic income phase-out,year
e02000,person,e02000,year
e26270,person,e26270,year
e19200,person,e19200,year
e18500,person,e18500,year
e19800,person,e19800,year
e20400,person,e20400,year
e20100,person,e20100,year
e00700,person,e00700,year
e03270,person,e03270,year
e24515,person,e24515,year
e03300,person,e03300,year
e07300,person,e07300,year
e62900,person,e62900,year
e32800,person,e32800,year
e87530,person,e87530,year
e03240,person,e03240,year
e01100,person,e01100,year
e01200,person,e01200,year
e24518,person,e24518,year
e09900,person,e09900,year
e27200,person,e27200,year
e03290,person,e03290,year
e58990,person,e58990,year
e03230,person,e03230,year
e11200,person,e11200,year
e07260,person,e07260,year
e07240,person,e07240,year
e03220,person,e03220,year
p08000,person,p08000,year
e03400,person,e03400,year
e09800,person,e09800,year
e09700,person,e09700,year
e03500,person,e03500,year
e87521,person,e87521,year
aca_take_up_seed,tax_unit,Randomly assigned seed for ACA take-up,year
takes_up_aca_if_eligible,tax_unit,Whether a random eligible SPM unit does not claim ACA Premium Tax Credit,year
aca_child_index,person,Index of child in tax unit (1 = oldest),year
aca_magi,tax_unit,ACA-related modified AGI for this tax unit,year
aca_magi_fraction,tax_unit,ACA-related modified AGI as fraction of prior-year FPL,year
has_esi,person,Person currently has ESI,year
is_aca_eshi_eligible,person,Person is eligible for employer-sponsored health insurance under ACA rules,year
is_aca_ptc_eligible,person,Person is eligible for ACA premium tax credit and pays ACA premium,year
is_aca_ptc_immigration_status_eligible,person,Person is eligible for ACA premium tax credit and pays ACA premium due to immigration status,year
offered_aca_disqualifying_esi,person,Person is offered ACA disqualifying esi,year
aca_ptc,tax_unit,ACA premium tax credit for tax unit,year
aca_ptc_phase_out_rate,tax_unit,"ACA PTC phase-out rate (i.e., IRS Form 8962 'applicable figure')",year
premium_tax_credit,tax_unit,Affordable Care Act Premium Tax Credit,month
slcsp,tax_unit,Second-lowest ACA silver-plan cost,month
slcsp_age_0,household,Second-lowest ACA silver-plan for a person aged 0,month
slcsp_age_curve_amount_person,person,"Second-lowest ACA silver-plan cost, for people in age curve states",month
slcsp_age_curve_applies,tax_unit,"ACA age curve applies, rather than family tier",month
slcsp_family_tier_amount,tax_unit,ACA family tier premium amount,month
slcsp_family_tier_applies,tax_unit,"ACA family tier applies, rather than age curves",month
slcsp_family_tier_category,tax_unit,ACA family tier category for premium calculation,month
slcsp_family_tier_multiplier,tax_unit,ACA family tier multiplier for premium calculation,month
slcsp_rating_area,household,Second-lowest ACA silver-plan cost rating area,year
slcsp_rating_area_default,household,Second-lowest ACA silver-plan cost rating area outside of LA County,year
slcsp_rating_area_la_county,household,Second-lowest ACA silver-plan cost rating area in Los Angeles County,year
capped_electric_heat_pump_clothes_dryer_rebate,tax_unit,Capped electric heat pump clothes dryer rebate,year
capped_electric_load_service_center_upgrade_rebate,tax_unit,Capped electric load service center upgrade rebate,year
capped_electric_stove_cooktop_range_or_oven_rebate,tax_unit,Capped electric stove cooktop range or oven rebate,year
capped_electric_wiring_rebate,tax_unit,Capped electric wiring rebate,year
capped_heat_pump_rebate,tax_unit,Capped heat pump rebate,year
capped_heat_pump_water_heater_rebate,tax_unit,Capped heat pump water heater rebate,year
capped_insulation_air_sealing_ventilation_rebate,tax_unit,Capped insulation air sealing and ventilation rebate,year
high_efficiency_electric_home_rebate,tax_unit,High efficiency electric home rebate,year
high_efficiency_electric_home_rebate_percent_covered,tax_unit,Percent of expenditures covered by high electricity home rebate,year
residential_efficiency_electrification_rebate,tax_unit,Residential efficiency and electrification rebate,year
pell_grant,person,Pell Grant,year
pell_grant_calculation_method,tax_unit,Pell Grant calculation method,year
cost_of_attending_college,person,Pell Grant cost of attendance,year
pell_grant_countable_assets,person,Pell Grant countable assets,year
pell_grant_formula,person,Pell Grant formula,year
pell_grant_months_in_school,person,Pell Grant months of year student is in school,year
pell_grant_dependent_allowances,person,Pell Grant dependent allowances,year
pell_grant_dependent_available_income,person,Pell Grant dependent available income,year
pell_grant_dependent_contribution,person,Pell Grant dependent contribution,year
pell_grant_dependent_other_allowances,person,Pell Grant dependent other allowances,year
pell_grant_dependents_in_college,tax_unit,Pell Grant dependents in college,year
pell_grant_efc,person,Pell Grant expected family contribution,year
pell_grant_simplified_formula_applies,person,Use Pell Grant simplified formula,year
pell_grant_uses_efc,person,Pell Grant uses the expected family contribution,year
pell_grant_head_allowances,person,Pell Grant head allowances,year
pell_grant_head_assets,tax_unit,Pell Grant head assets,year
pell_grant_head_available_income,person,Pell Grant head available income,year
pell_grant_head_contribution,person,Pell Grant head contribution,year
pell_grant_contribution_from_assets,person,Pell Grant head contribution from assets,year
pell_grant_primary_income,tax_unit,Pell Grant head income,year
pell_grant_sai,person,Pell Grant student aid index,year
pell_grant_uses_sai,person,Pell Grant uses the student aid index,year
pell_grant_eligibility_type,person,"Maximum, minimum, or ineligible for Pell Grant",year
pell_grant_household_type,person,Pell Grant household type,year
pell_grant_max_fpg_percent_limit,person,The maximum FPG percent to qualify for the maximum Pell Grant,year
pell_grant_min_fpg_percent_limit,person,The maximum FPG percent to qualify for the minimum Pell Grant,year
fcc_fpg_ratio,spm_unit,Federal poverty ratio per FCC,year
acp,spm_unit,Affordable Connectivity Program,year
is_acp_eligible,spm_unit,Eligible for Affordable Connectivity Program,year
ebb,spm_unit,Emergency Broadband Benefit amount,year
enrolled_in_ebb,spm_unit,Enrolled for Emergency Broadband Benefit,year
is_ebb_eligible,spm_unit,Eligible for Emergency Broadband Benefit,year
broadband_cost_after_lifeline,spm_unit,Broadband costs after Lifeline,year
is_lifeline_eligible,spm_unit,Eligible for Lifeline,year
lifeline,spm_unit,Lifeline,year
hhs_smi,spm_unit,State Median Income (HHS),year
spm_unit_fpg,spm_unit,SPM unit's federal poverty guideline,year
tax_unit_fpg,tax_unit,Tax unit's federal poverty guideline,year
ccdf_age_group,person,CCDF age group,year
ccdf_county_cluster,household,County cluster for CCDF,year
ccdf_duration_of_care,person,Child care duration of care,year
ccdf_income,spm_unit,Income,year
ccdf_income_to_smi_ratio,spm_unit,Income to SMI ratio,year
ccdf_market_rate,person,CCDF market rate,year
is_ccdf_age_eligible,person,Age eligibility for CCDF,year
is_ccdf_asset_eligible,spm_unit,Asset eligibility for CCDF,year
is_ccdf_continuous_income_eligible,spm_unit,Continuous income eligibility for CCDF,year
is_ccdf_eligible,person,Eligibility for CCDF,year
is_ccdf_home_based,person,Whether CCDF care is home-based versus center-based,year
is_ccdf_income_eligible,spm_unit,Income eligibility for CCDF,year
is_ccdf_initial_income_eligible,spm_unit,Initial income eligibility for CCDF,year
is_ccdf_reason_for_care_eligible,person,Reason-for-care eligibility for CCDF,year
is_enrolled_in_ccdf,person,CCDF enrollment status,year
meets_ccdf_activity_test,spm_unit,Activity test for CCDF,year
spm_unit_ccdf_subsidy,spm_unit,SPM unit CCDF subsidy,year
spm_unit_total_ccdf_copay,spm_unit,SPM unit total CCDF copay,year
chip,person,CHIP,year
chip_category,person,CHIP category,year
is_chip_eligible,person,CHIP eligible,year
is_chip_eligible_child,person,Child eligible for CHIP,year
is_chip_eligible_pregnant,person,Pregnant person eligible for CHIP,year
is_chip_eligible_standard_pregnant_person,person,Pregnant person eligible for standard CHIP,year
is_chip_fcep_eligible_person,person,Pregnant person eligible for CHIP through FCEP,year
per_capita_chip,person,Average CHIP payment,year
early_head_start,person,Amount of Early Head Start benefit,year
head_start,person,Amount of Head Start benefit,year
is_early_head_start_eligible,person,Eligible person for the Early Head Start program,year
is_head_start_categorically_eligible,person,Early Head Start or Head Start program eligible,year
is_head_start_eligible,person,Eligible person for the Head Start program,year
is_head_start_income_eligible,person,Early Head Start or Head Start income eligible,year
medicaid,person,Medicaid,year
medicaid_cost,person,Medicaid_cost,year
medicaid_enrolled,person,Medicaid enrolled,year
medicaid_take_up_seed,person,Randomly assigned seed for Medicaid take-up,year
takes_up_medicaid_if_eligible,person,Whether a random eligible person unit does not enroll in Medicaid,year
medicaid_cost_if_enrolled,person,Per capita Medicaid cost by eligibility group & state,year
medicaid_group,person,Medicaid spending group,year
is_medicaid_eligible,person,Eligible for Medicaid,year
is_medicaid_immigration_status_eligible,person,Person is eligible for Medicaid due to immigration status,year
medicaid_work_requirement_eligible,person,Eligible person for Medicaid via work requirement,year
is_optional_senior_or_disabled_asset_eligible,person,Asset-eligibility for State’s optional Medicaid pathway for seniors or people with disabilities,year
is_optional_senior_or_disabled_for_medicaid,person,Seniors or disabled people not meeting SSI rules,year
is_optional_senior_or_disabled_income_eligible,person,Income-eligibility for State’s optional Medicaid pathway for seniors or people with disabilities,year
is_ssi_recipient_for_medicaid,person,SSI recipients,year
medicaid_category,person,Medicaid category,year
is_adult_for_medicaid,person,Working-age and childless adults,year
is_adult_for_medicaid_fc,person,Medicaid adult financial criteria,year
is_adult_for_medicaid_nfc,person,Medicaid adult non-financial criteria,year
is_infant_for_medicaid,person,Infants,year
is_infant_for_medicaid_fc,person,Medicaid infant financial criteria,year
is_infant_for_medicaid_nfc,person,Medicaid infant non-financial criteria,year
is_in_medicaid_medically_needy_category,person,In Medicaid medically needy category,year
is_medically_needy_for_medicaid,person,Medically needy,year
is_older_child_for_medicaid,person,Older children,year
is_older_child_for_medicaid_fc,person,Medicaid older child financial criteria,year
is_older_child_for_medicaid_nfc,person,Medicaid older child non-financial criteria,year
is_parent_for_medicaid,person,Parents,year
is_parent_for_medicaid_fc,person,Medicaid parent financial criteria,year
is_parent_for_medicaid_nfc,person,Medicaid parent non-financial criteria,year
is_pregnant_for_medicaid,person,Pregnant people,year
is_pregnant_for_medicaid_fc,person,Medicaid pregnant financial criteria,year
is_pregnant_for_medicaid_nfc,person,Medicaid pregnant non-financial criteria,year
is_young_adult_for_medicaid,person,Young adults,year
is_young_adult_for_medicaid_fc,person,Medicaid young adult financial criteria,year
is_young_adult_for_medicaid_nfc,person,Medicaid young adult non-financial criteria,year
is_young_child_for_medicaid,person,Young children,year
is_young_child_for_medicaid_fc,person,Medicaid young child financial criteria,year
is_young_child_for_medicaid_nfc,person,Medicaid young child non-financial criteria,year
medicaid_income_level,person,Medicaid/CHIP-related income level,year
medicaid_magi,tax_unit,Medicaid/CHIP/ACA-related Modified AGI,year
tax_unit_medicaid_income_level,tax_unit,Medicaid/CHIP-related modified adjusted gross income (MAGI) level,year
is_medicare_eligible,person,Person is eligible for Medicare,year
months_receiving_social_security_disability,person,Number of months person has received social security disability,year
tanf,spm_unit,TANF,year
tanf_person,person,Per-capita TANF,year
tanf_reported,person,Reported TANF,year
is_demographic_tanf_eligible,spm_unit,Demographic eligibility for TANF,month
is_person_demographic_tanf_eligible,person,Person demographic eligibility for TANF,month
is_tanf_enrolled,spm_unit,Enrolled in TANF,month
is_tanf_non_cash_eligible,spm_unit,Eligibility for TANF non-cash benefit,month
is_tanf_non_cash_hheod,spm_unit,Elderly or disabled for TANF non-cash benefit,month
meets_tanf_non_cash_asset_test,spm_unit,Meets asset test for TANF non-cash benefit,month
meets_tanf_non_cash_gross_income_test,spm_unit,Meets gross income test for TANF non-cash benefit,month
meets_tanf_non_cash_net_income_test,spm_unit,Meets net income test for TANF non-cash benefit,month
ami,household,Area median income,year
household_income_ami_ratio,household,Ratio of household income to area median income,year
housing_assistance,spm_unit,Housing assistance,year
housing_designated_welfare,spm_unit,Housing designated welfare,year
hud_adjusted_income,spm_unit,HUD adjusted income,year
hud_annual_income,spm_unit,HUD annual income,year
hud_gross_rent,spm_unit,HUD gross rent,year
hud_hap,spm_unit,HUD housing assistance payment,year
hud_income_level,spm_unit,HUD income level,year
hud_max_subsidy,spm_unit,HUD max subsidy,year
hud_minimum_rent,spm_unit,HUD minimum rent,year
hud_utility_allowance,household,HUD utility allowance,year
is_eligible_for_housing_assistance,spm_unit,Is eligible for HUD voucher,year
is_hud_elderly_disabled_family,spm_unit,HUD elderly or disabled family,year
pha_payment_standard,household,HUD payment standard,year
receives_housing_assistance,spm_unit,Currently receives housing assistance,year
tax_unit_income_ami_ratio,tax_unit,Ratio of tax unit income to area median income,year
hud_especially_low_income_factor,spm_unit,HUD Especially Low income factor,year
hud_low_income_factor,spm_unit,HUD Low income factor,year
hud_moderate_income_factor,spm_unit,HUD Moderate income factor,year
hud_very_low_income_factor,spm_unit,HUD Very Low income factor,year
hud_ttp,spm_unit,HUD total tenant payment,year
hud_ttp_adjusted_income_share,spm_unit,HUD adjusted income share for total tenant payment,year
hud_ttp_income_share,spm_unit,HUD income share for total tenant payment,year
tax_unit_is_filer,tax_unit,files taxes,year
federal_state_income_tax,tax_unit,Total federal and state income tax,year
amt_foreign_tax_credit,person,AMT foreign tax credit from Form 6251,year
income_tax_capped_non_refundable_credits,tax_unit,non-refundable tax credits,year
income_tax_unavailable_non_refundable_credits,tax_unit,unavailable non-refundable tax credits,year
income_tax_non_refundable_credits,tax_unit,federal non-refundable income tax credits,year
income_tax_refundable_credits,tax_unit,federal refundable income tax credits,year
other_credits,person,other credits,year
recapture_of_investment_credit,tax_unit,Recapture of Investment Credit,year
refundable_payroll_tax_credit,tax_unit,Refundable Payroll Tax Credit,year
capped_cdcc,tax_unit,Capped child/dependent care credit,year
capped_count_cdcc_eligible,tax_unit,Capped child/dependent care eligiable count,year
cdcc,tax_unit,Child/dependent care credit,year
cdcc_credit_limit,tax_unit,Child/dependent care credit credit limit,year
is_cdcc_eligible,person,CDCC-eligible,year
cdcc_limit,tax_unit,CDCC-relevant care expense limit,year
cdcc_potential,tax_unit,Potential value of the Child/dependent care credit,year
cdcc_rate,tax_unit,CDCC credit rate,year
cdcc_relevant_expenses,tax_unit,CDCC-relevant care expenses,year
count_cdcc_eligible,tax_unit,CDCC-eligible children,year
head_earned,tax_unit,Head's adjusted earnings,year
min_head_spouse_earned,tax_unit,Less of head and spouse's earnings,year
spouse_earned,tax_unit,Spouse's adjusted earnings,year
new_clean_vehicle_credit,tax_unit,New clean vehicle credit,year
new_clean_vehicle_credit_credit_limit,tax_unit,New clean vehicle credit credit limit,year
new_clean_vehicle_credit_eligible,tax_unit,Eligible for new clean vehicle credit,year
new_clean_vehicle_credit_potential,tax_unit,Potential value of the New clean vehicle credit,year
used_clean_vehicle_credit,tax_unit,Used clean vehicle credit,year
used_clean_vehicle_credit_credit_limit,tax_unit,Used clean vehicle credit credit limit,year
used_clean_vehicle_credit_eligible,tax_unit,Eligible for used clean vehicle credit,year
used_clean_vehicle_credit_potential,tax_unit,Potential value of the Used clean vehicle credit,year
ctc,tax_unit,Child Tax Credit,year
ctc_value,tax_unit,CTC value,year
non_refundable_ctc,tax_unit,non-refundable CTC,year
ctc_maximum,tax_unit,Maximum CTC,year
ctc_maximum_with_arpa_addition,tax_unit,Maximum CTC for ARPA,year
ctc_qualifying_child,person,CTC-qualifying child,year
ctc_qualifying_children,tax_unit,CTC-qualifying children,year
ctc_adult_individual_maximum,person,CTC maximum amount (adult dependent),year
ctc_child_individual_maximum,person,CTC maximum amount (child),year
ctc_child_individual_maximum_arpa,person,CTC maximum amount (child under ARPA),year
ctc_individual_maximum,person,CTC individual amount maximum,year
filer_meets_ctc_identification_requirements,tax_unit,Filer meets CTC identification requirements,year
meets_ctc_child_identification_requirements,person,Child meets CTC identification requirements,year
meets_ctc_identification_requirements,person,Person meets CTC identification requirements,year
ctc_phase_out,tax_unit,CTC reduction from income,year
ctc_phase_out_threshold,tax_unit,CTC phase-out threshold,year
ctc_arpa_addition,tax_unit,Additional CTC from ARPA,year
ctc_arpa_max_addition,tax_unit,Maximum additional CTC from ARPA,year
ctc_arpa_phase_out,tax_unit,Phase-out of CTC ARPA addition,year
ctc_arpa_phase_out_cap,tax_unit,Cap on phase-out of ARPA CTC expansion,year
ctc_arpa_phase_out_threshold,tax_unit,CTC ARPA phase-out threshold,year
ctc_arpa_uncapped_phase_out,tax_unit,Uncapped phase-out of ARPA CTC increase,year
ctc_limiting_tax_liability,tax_unit,CTC-limiting tax liability,year
ctc_phase_in,tax_unit,CTC phase-in,year
ctc_refundable_maximum,tax_unit,Maximum refundable CTC,year
ctc_social_security_tax,tax_unit,Refundable Child Tax Credit Social Security Tax,year
refundable_ctc,tax_unit,refundable CTC,year
eitc,tax_unit,Federal earned income credit,year
eitc_agi_limit,tax_unit,Maximum AGI to qualify for EITC,year
eitc_child_count,tax_unit,EITC-qualifying children,year
eitc_maximum,tax_unit,Maximum EITC,year
eitc_phased_in,tax_unit,EITC phase-in amount,year
eitc_phase_in_rate,tax_unit,EITC phase-in rate,year
eitc_phase_out_rate,tax_unit,EITC phase-out rate,year
eitc_phase_out_start,tax_unit,EITC phase-out start,year
eitc_reduction,tax_unit,EITC reduction,year
eitc_relevant_investment_income,tax_unit,EITC-relevant investment income,year
filer_meets_eitc_identification_requirements,tax_unit,Filer meets EITC identification requirements,year
meets_eitc_identification_requirements,person,Person meets EITC identification requirements,year
takes_up_eitc,tax_unit,takes up the EITC,year
eitc_demographic_eligible,tax_unit,Meets demographic eligibility for EITC,year
eitc_eligible,tax_unit,Eligible for EITC,year
eitc_investment_income_eligible,tax_unit,Meets investment income eligibility for EITC,year
education_credit_phase_out,tax_unit,Education credit phase-out,year
education_tax_credits,tax_unit,Education tax credits,year
lifetime_learning_credit,tax_unit,Lifetime Learning Credit,year
lifetime_learning_credit_credit_limit,tax_unit,Lifetime Learning Credit credit limit,year
lifetime_learning_credit_potential,tax_unit,Potential value of the Lifetime Learning Credit,year
american_opportunity_credit,tax_unit,American Opportunity Credit,year
is_eligible_for_american_opportunity_credit,person,Eligible for American Opportunity Credit,year
non_refundable_american_opportunity_credit,tax_unit,Non-refundable American Opportunity Credit,year
non_refundable_american_opportunity_credit_credit_limit,tax_unit,Non-refundable American Opportunity Credit credit limit,year
non_refundable_american_opportunity_credit_potential,tax_unit,Potential value of the Non-refundable American Opportunity Credit,year
refundable_american_opportunity_credit,tax_unit,Refundable American Opportunity Credit,year
elderly_disabled_credit,tax_unit,Elderly or disabled credit,year
elderly_disabled_credit_credit_limit,tax_unit,Elderly or disabled credit credit limit,year
elderly_disabled_credit_potential,tax_unit,Potential value of the Elderly or disabled credit,year
retired_on_total_disability,person,Retired on total disability,year
qualifies_for_elderly_or_disabled_credit,person,Qualifies for elderly or disabled credit,year
section_22_income,tax_unit,Section 22 income,year
total_disability_payments,person,Disability (total) payments,year
capped_home_energy_audit_credit,tax_unit,Capped home energy audit credit,year
energy_efficient_home_improvement_credit,tax_unit,Energy efficient home improvement credit,year
energy_efficient_home_improvement_credit_credit_limit,tax_unit,Energy efficient home improvement credit credit limit,year
energy_efficient_home_improvement_credit_potential,tax_unit,Potential value of the Energy efficient home improvement credit,year
prior_energy_efficient_home_improvement_credits,tax_unit,Prior year energy efficient home improvement credit,year
capped_energy_efficient_door_credit,tax_unit,Capped energy-efficient exterior door credit,year
capped_energy_efficient_insulation_credit,tax_unit,Capped energy efficient insulation credit,year
capped_energy_efficient_roof_credit,tax_unit,Capped credit on energy-efficient roof credit,year
capped_energy_efficient_window_credit,tax_unit,Capped energy efficient window credit,year
prior_energy_efficient_window_credits,tax_unit,Prior years energy efficient window credit,year
capped_advanced_main_air_circulating_fan_credit,tax_unit,Capped advanced main air circulating fan credit,year
capped_energy_efficient_central_air_conditioner_credit,tax_unit,Capped energy efficient central air conditioner credit,year
capped_heat_pump_heat_pump_water_heater_biomass_stove_boiler_credit,tax_unit,"Capped credit on heat pumps, heat pump water heaters, and biomass stoves and boilers",year
capped_qualified_furnace_or_hot_water_boiler_credit,tax_unit,Capped qualified furnace or hot water boiler credit,year
estate_tax_credit,person,Estate tax credit,year
foreign_tax_credit,tax_unit,Foreign tax credit,year
foreign_tax_credit_credit_limit,tax_unit,Foreign tax credit credit limit,year
foreign_tax_credit_potential,tax_unit,Potential value of the Foreign tax credit,year
general_business_credit,person,General business credit,year
prior_year_minimum_tax_credit,person,Prior year minimum tax credit,year
recovery_rebate_credit,tax_unit,Recovery Rebate Credit,year
rrc_arpa,tax_unit,Recovery Rebate Credit (ARPA),year
rrc_caa,tax_unit,Recovery Rebate Credit (CAA),year
rrc_cares,tax_unit,Recovery Rebate Credit (CARES),year
residential_clean_energy_credit,tax_unit,Residential clean energy credit,year
residential_clean_energy_credit_credit_limit,tax_unit,Residential clean energy credit credit limit,year
residential_clean_energy_credit_potential,tax_unit,Potential value of the Residential clean energy credit,year
savers_credit,tax_unit,Retirement Savings Credit,year
savers_credit_credit_limit,tax_unit,Retirement Savings Credit,year
savers_credit_eligible_person,person,Eligible person for the retirement saving contributions credit,year
savers_credit_person,person,Retirement Savings Credit for eahc individual person,year
savers_credit_potential,tax_unit,Potential value of the Retirement Savings Credit,year
savers_credit_qualified_contributions,person,Retirement Savings Credit qualified contributions,year
state_sales_tax_income_bracket,tax_unit,State Sales Tax Income Bracket,year
adjusted_earnings,person,Personal earned income adjusted for self-employment tax,year
filer_adjusted_earnings,tax_unit,Filer earned income adjusted for self-employment tax,year
amt_non_agi_income,tax_unit,Income considered for AMT but not AGI,year
investment_income_form_4952,tax_unit,Investment income from Form 4952,year
taxable_income,tax_unit,IRS taxable income,year
adjusted_gross_income,tax_unit,Adjusted gross income,year
adjusted_gross_income_person,person,Federal adjusted gross income for each person,year
positive_agi,tax_unit,Positive AGI,year
positive_gross_income,tax_unit,Positive Gross Income,year
above_the_line_deductions,tax_unit,Above-the-line deductions,year
alimony_expense_ald,tax_unit,Alimony expense ALD,year
domestic_production_ald,tax_unit,Domestic production activities ALD,year
foreign_earned_income_exclusion,tax_unit,Foreign earned income ALD,year
health_savings_account_ald,tax_unit,Health savings account ALD,year
limited_capital_loss,tax_unit,Limited capital loss deduction,year
loss_ald,tax_unit,Business loss ALD,year
puerto_rico_income,tax_unit,Income from Puerto Rico,year
self_employed_health_insurance_ald,tax_unit,Self-employed health insurance ALD,year
self_employed_health_insurance_ald_person,person,Self-employed health insurance ALD for each person,year
self_employed_pension_contribution_ald,tax_unit,Self-employed pension contribution ALD,year
self_employed_pension_contribution_ald_person,person,Self-employed pension contribution ALD for each person,year
self_employment_tax_ald,tax_unit,Self-employment tax ALD deduction,year
self_employment_tax_ald_person,person,Self-employment tax ALD deduction for each person,year
specified_possession_income,tax_unit,"Income from Guam, American Samoa, or the Northern Mariana Islands",year
student_loan_interest_ald,person,Student loan interest ALD,year
student_loan_interest_ald_eligible,person,Eligible for the Student loan interest ALD,year
student_loan_interest_ald_magi,person,Modified adjusted gross income for the student loan interest ALD,year
has_qdiv_or_ltcg,tax_unit,Has qualified dividends or long-term capital gains,year
irs_employment_income,person,IRS employment income,year
irs_gross_income,person,Gross income,year
loss_limited_net_capital_gains,tax_unit,Loss-limited net capital gains,year
pre_tax_contributions,person,Pre-tax contributions,year
tax_unit_partnership_s_corp_income,tax_unit,Tax unit partnership/S-corp income,year
tax_unit_rental_income,tax_unit,Tax unit rental income,year
earned_income,person,Earned income,year
earned_income_last_year,person,Earned income last year,year
tax_unit_earned_income,tax_unit,Tax unit earned income,year
tax_unit_earned_income_last_year,tax_unit,Tax unit earned income last year,year
taxable_social_security,person,Taxable Social Security,year
taxable_ss_magi,tax_unit,Modified adjusted gross income (SS),year
tax_exempt_social_security,tax_unit,Tax-exempt Social Security,year
tax_unit_combined_income_for_social_security_taxability,tax_unit,Taxable Social Security combined income,year
tax_unit_social_security,tax_unit,Tax unit Social Security,year
tax_unit_ss_combined_income_excess,tax_unit,Taxable Social Security combined income excess over base amount,year
tax_unit_taxable_social_security,tax_unit,Taxable Social Security benefits,year
taxable_uc_agi,tax_unit,Taxable unemployment compensation for SS adjusted gross income,year
taxable_unemployment_compensation,person,Taxable unemployment compensation,year
tax_exempt_unemployment_compensation,person,Tax-exempt unemployment compensation,year
tax_unit_taxable_unemployment_compensation,tax_unit,Taxable unemployment compensation,year
tax_unit_unemployment_compensation,tax_unit,Tax unit unemployment compensation,year
capped_property_taxes,tax_unit,Local real estate taxes limited by the federal SALT cap.,year
itemized_deductions_less_salt,tax_unit,Itemized tax deductions other than SALT deduction,year
taxable_income_deductions,tax_unit,Taxable income deductions,year
taxable_income_deductions_if_itemizing,tax_unit,Deductions if itemizing,year
taxable_income_deductions_if_not_itemizing,tax_unit,Deductions if not itemizing,year
tax_liability_if_itemizing,tax_unit,Tax liability if itemizing,year
tax_liability_if_not_itemizing,tax_unit,Tax liability if not itemizing,year
tax_unit_itemizes,tax_unit,Itemizes tax deductions,year
tuition_and_fees_deduction,tax_unit,Tuition and fees deduction,year
tuition_and_fees_deduction_eligible,tax_unit,Tuition and fees deduction eligible,year
auto_loan_interest_deduction,tax_unit,Auto loan interest deduction,year
casualty_loss_deduction,tax_unit,Casualty loss deduction,year
charitable_deduction,tax_unit,Charitable deduction,year
charitable_deduction_for_non_itemizers,tax_unit,Charitable deduction for non-itemizers,year
interest_deduction,tax_unit,Interest deduction,year
itemized_taxable_income_deductions,tax_unit,Itemized taxable income deductions,year
itemized_taxable_income_deductions_reduction,tax_unit,Itemized taxable income deductions reduction,year
medical_expense_deduction,tax_unit,Medical expense deduction,year
misc_deduction,tax_unit,Miscellaneous deduction,year
reported_salt,tax_unit,Reported State and local sales or income tax and real estate taxes subject to the SALT deduction limited to taxable income,year
salt,tax_unit,State and local sales or income tax and real estate taxes subject to the SALT deduction,year
salt_cap,tax_unit,SALT cap,year
salt_deduction,tax_unit,SALT deduction,year
